#{"t_start": 1773980391.1478367, "env_id": "None"}
r,l,t
8.069045,315,12759.198144
35.209544,98,12771.306495
35.96876,169,12790.519462
39.470756,183,12811.133015
31.031834,104,12823.842166
30.6772,92,12835.350476
24.193246,75,12845.15662
-18.23882,12,12848.660057
34.24719,60,12856.968904
33.194962,124,12871.677103
40.484093,170,12890.990444
-58.714158,500,12943.324971
33.356097,100,12955.634169
-18.873316,123,12970.248878
39.721375,178,12990.3727
33.86936,80,13000.685445
37.003629,94,13012.399057
40.457876,191,13034.106731
36.233511,260,13062.437748
34.192311,101,13074.851097
40.855034,160,13093.168517
32.701258,60,13101.775959
-19.497975,19,13105.980398
36.970192,162,13124.501281
35.023562,138,13140.617721
30.283284,79,13150.828995
-14.404424,165,13169.649491
33.154939,84,13180.36349
28.295468,71,13189.770727
37.332714,113,13203.38628
28.93639,57,13211.393827
-16.880874,10,13214.699744
30.03187,71,13224.410594
-6.505793,305,13257.252864
-16.731966,21,13261.657159
29.727665,53,13269.266709
30.244185,40,13275.574194
28.144703,63,13284.193873
41.947569,148,13301.287681
29.546913,49,13308.495015
33.328637,97,13320.507064
-19.80408,17,13324.509497
-8.894408,110,13337.819457
30.465031,45,13344.624669
29.7357,59,13352.831712
33.145093,93,13364.439502
24.39098,114,13378.14968
39.28179,190,13399.463749
-9.704008,246,13426.384009
32.453914,75,13436.189723
31.223093,80,13446.498169
-3.823716,175,13466.313286
-17.975057,10,13469.617225
32.76684,94,13481.325492
24.813031,50,13488.931976
17.047044,182,13509.426927
-26.249601,94,13521.134627
-18.347892,17,13525.139655
-20.197361,197,13547.154423
-23.357373,68,13556.260692
-16.445998,26,13561.164854
30.090041,118,13575.274208
-18.624105,18,13579.378331
-7.996716,231,13604.794197
27.954655,121,13619.204183
37.039901,117,13633.213442
32.150577,140,13649.525715
38.603717,171,13668.938842
37.363683,115,13682.749055
31.090137,99,13694.957622
34.965114,112,13708.469631
35.996666,119,13722.681258
-16.420873,5,13725.48445
-6.299383,252,13753.002783
30.384975,33,13758.60704
31.50789,95,13770.41556
-44.940391,500,13822.750753
37.659701,214,13846.467088
-22.942327,187,13867.482214
-27.966585,139,13883.994916
34.842612,207,13906.989954
-16.627463,5,13909.792156
15.883577,195,13931.608812
29.543613,52,13939.114116
32.898734,114,13952.82516
33.165443,268,13982.245903
30.912743,25,13987.051304
35.506878,80,13997.374748
28.529485,51,14004.794012
33.926795,69,14014.013118
-19.06455,127,14029.038681
10.89579,268,14058.182788
37.465321,163,14076.813247
34.851312,207,14099.854063
-32.715797,500,14152.191003
26.674255,77,14162.197016
31.873587,59,14170.40239
39.448264,267,14199.424134
-17.494306,18,14203.527064
33.444138,107,14216.535476
36.27683,121,14230.946042
38.086944,143,14247.556898
-16.205374,36,14253.760951
29.427679,101,14266.169099
31.136848,112,14279.681132
-17.378705,26,14284.583201
34.546114,100,14296.893882
-38.922935,500,14349.227394
30.130456,72,14358.733411
23.412043,94,14370.442308
-40.722458,500,14422.77548
40.725221,212,14446.291063
27.652964,102,14458.798751
30.514132,133,14474.4097
-28.436693,199,14496.626714
36.981476,174,14516.342837
31.360522,86,14527.249329
37.358845,157,14545.265082
-18.622316,22,14549.767844
30.089038,69,14558.974419
36.814066,153,14576.585631
22.54259,264,14605.306206
37.800204,115,14619.117017
-23.646818,280,14649.439227
-26.919337,101,14661.846728
-20.921654,62,14670.354379
-49.955473,338,14706.478969
41.755153,234,14732.195056
29.295785,101,14744.603223
36.488691,155,14762.414061
37.387638,253,14790.031831
25.58548,163,14808.646033
-20.049124,42,14815.150204
26.523632,141,14831.560277
-18.183906,91,14842.967719
30.702164,53,14850.574462
-21.488988,32,14856.376526
30.76481,73,14865.987372
28.314485,99,14878.20041
32.325329,118,14892.316334
24.257731,103,14905.529525
36.973759,115,14919.642645
39.098014,164,14938.359737
-76.983178,500,14990.698376
-17.559535,10,14994.000382
28.084236,120,15008.3126
24.856733,166,15027.228594
36.487423,165,15046.045048
32.66027,119,15060.258968
25.277752,106,15073.173834
19.066913,189,15094.401432
29.446453,140,15110.717529
28.921031,43,15117.323449
35.493281,71,15126.735233
-71.546888,500,15179.085568
34.993209,99,15191.294787
-22.927193,59,15199.503692
31.043628,23,15204.109705
30.332019,71,15213.514838
36.453498,160,15231.827831
-18.703579,31,15237.230926
-19.553958,248,15264.348469
31.579495,91,15275.755294
36.817826,123,15290.364902
20.375781,150,15307.976542
45.530278,254,15335.697591
-16.651159,12,15339.1984
30.195879,43,15345.803152
-19.501774,29,15351.006814
29.274053,89,15362.21298
-20.441362,36,15368.118253
-18.180228,20,15372.420182
39.608759,154,15390.13147
-22.813264,48,15397.236505
-20.267827,36,15403.140369
5.565675,314,15436.862149
26.961232,169,15456.074099
25.013106,111,15469.483308
36.602614,155,15487.295714
37.74705,102,15499.803581
29.636789,90,15511.412057
38.498027,175,15531.52478
38.733125,141,15547.93453
36.24915,129,15563.144131
32.869754,31,15568.547515
-18.906984,17,15572.549957
31.202797,81,15582.957113
35.967414,129,15598.166883
29.662805,35,15603.970412
31.632872,96,15615.877757
36.86952,180,15636.191658
30.05578,209,15659.405389
-17.871491,16,15663.308018
-27.118552,181,15683.720647
33.78347,67,15692.727465
20.97295,213,15716.342388
31.111764,130,15731.651947
25.585514,105,15744.46896
-26.637427,120,15758.790298
34.283648,110,15772.107198
37.15382,121,15786.522663
7.269762,290,15817.851207
24.37571,161,15836.279905
